[ 2026-03-21 16:45:04,946 ] 19 root - INFO - Initiate the data ingestion
[ 2026-03-21 16:45:18,715 ] 66 root - INFO - Performed train test split on the dataframe
[ 2026-03-21 16:45:18,715 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-21 16:45:18,715 ] 76 root - INFO - Exporting train and test file path.
[ 2026-03-21 16:45:18,856 ] 85 root - INFO - Exported train and test file path.
[ 2026-03-21 16:45:18,856 ] 21 root - INFO - Data ingestion completed
[ 2026-03-21 16:45:18,885 ] 25 root - INFO - Initiate the data validation
[ 2026-03-21 16:45:19,032 ] 33 root - INFO - Required number of columns: 2
[ 2026-03-21 16:45:19,033 ] 34 root - INFO - Dataframe has columns: 31
[ 2026-03-21 16:45:19,033 ] 33 root - INFO - Required number of columns: 2
[ 2026-03-21 16:45:19,033 ] 34 root - INFO - Dataframe has columns: 31
[ 2026-03-21 16:45:19,385 ] 27 root - INFO - Data validation completed
[ 2026-03-21 16:45:19,385 ] 30 root - INFO - Initiate the data transformation
[ 2026-03-21 16:45:19,385 ] 58 root - INFO - Entered the initiate_data_transformation method of DataTransformation class
[ 2026-03-21 16:45:19,385 ] 60 root - INFO - Started the data transformation component
[ 2026-03-21 16:45:19,448 ] 47 root - INFO - Entered the get_data_transformer_object method of DataTransformation class
[ 2026-03-21 16:45:19,448 ] 51 root - INFO - Initialized KNNImputer with parameters: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-21 16:45:19,479 ] 51 root - INFO - Entred the save_object method of MainUtils class
[ 2026-03-21 16:45:19,490 ] 34 root - INFO - Data transformation completed
[ 2026-03-21 16:45:19,490 ] 36 root - INFO - Model Training Started
