[ 2026-03-21 17:48:23,231 ] 19 root - INFO - Initiate the data ingestion
[ 2026-03-21 17:48:26,560 ] 66 root - INFO - Performed train test split on the dataframe
[ 2026-03-21 17:48:26,560 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-21 17:48:26,560 ] 76 root - INFO - Exporting train and test file path.
[ 2026-03-21 17:48:26,671 ] 85 root - INFO - Exported train and test file path.
[ 2026-03-21 17:48:26,671 ] 21 root - INFO - Data ingestion completed
[ 2026-03-21 17:48:26,687 ] 25 root - INFO - Initiate the data validation
[ 2026-03-21 17:48:26,770 ] 33 root - INFO - Required number of columns: 2
[ 2026-03-21 17:48:26,770 ] 34 root - INFO - Dataframe has columns: 31
[ 2026-03-21 17:48:26,770 ] 33 root - INFO - Required number of columns: 2
[ 2026-03-21 17:48:26,770 ] 34 root - INFO - Dataframe has columns: 31
[ 2026-03-21 17:48:26,949 ] 27 root - INFO - Data validation completed
[ 2026-03-21 17:48:26,949 ] 30 root - INFO - Initiate the data transformation
[ 2026-03-21 17:48:26,949 ] 58 root - INFO - Entered the initiate_data_transformation method of DataTransformation class
[ 2026-03-21 17:48:26,949 ] 60 root - INFO - Started the data transformation component
[ 2026-03-21 17:48:26,979 ] 47 root - INFO - Entered the get_data_transformer_object method of DataTransformation class
[ 2026-03-21 17:48:26,979 ] 51 root - INFO - Initialized KNNImputer with parameters: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-21 17:48:26,991 ] 51 root - INFO - Entred the save_object method of MainUtils class
[ 2026-03-21 17:48:27,000 ] 34 root - INFO - Data transformation completed
[ 2026-03-21 17:48:27,000 ] 36 root - INFO - Model Training Started
[ 2026-03-21 17:52:31,191 ] 64 root - INFO - Entred the load_object method of MainUtils class
[ 2026-03-21 17:52:31,203 ] 51 root - INFO - Entred the save_object method of MainUtils class
[ 2026-03-21 17:52:31,203 ] 116 root - INFO - Model trainer artifact : ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_21_2026_17_48_17\\model_trainer\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9914219396508225, precision_score=0.9883299798792756, recall_score=0.9945333063373153), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9704573047349251, precision_score=0.9569034317637669, recall_score=0.9844006568144499))
[ 2026-03-21 17:52:31,203 ] 41 root - INFO - Model Training artifact created
