[ 2026-03-21 16:49:42,795 ] 19 root - INFO - Initiate the data ingestion
[ 2026-03-21 16:49:46,010 ] 66 root - INFO - Performed train test split on the dataframe
[ 2026-03-21 16:49:46,010 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-21 16:49:46,010 ] 76 root - INFO - Exporting train and test file path.
[ 2026-03-21 16:49:46,080 ] 85 root - INFO - Exported train and test file path.
[ 2026-03-21 16:49:46,080 ] 21 root - INFO - Data ingestion completed
[ 2026-03-21 16:49:46,096 ] 25 root - INFO - Initiate the data validation
[ 2026-03-21 16:49:46,217 ] 33 root - INFO - Required number of columns: 2
[ 2026-03-21 16:49:46,217 ] 34 root - INFO - Dataframe has columns: 31
[ 2026-03-21 16:49:46,226 ] 33 root - INFO - Required number of columns: 2
[ 2026-03-21 16:49:46,226 ] 34 root - INFO - Dataframe has columns: 31
[ 2026-03-21 16:49:46,465 ] 27 root - INFO - Data validation completed
[ 2026-03-21 16:49:46,465 ] 30 root - INFO - Initiate the data transformation
[ 2026-03-21 16:49:46,465 ] 58 root - INFO - Entered the initiate_data_transformation method of DataTransformation class
[ 2026-03-21 16:49:46,465 ] 60 root - INFO - Started the data transformation component
[ 2026-03-21 16:49:46,509 ] 47 root - INFO - Entered the get_data_transformer_object method of DataTransformation class
[ 2026-03-21 16:49:46,509 ] 51 root - INFO - Initialized KNNImputer with parameters: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-21 16:49:46,536 ] 51 root - INFO - Entred the save_object method of MainUtils class
[ 2026-03-21 16:49:46,542 ] 34 root - INFO - Data transformation completed
[ 2026-03-21 16:49:46,542 ] 36 root - INFO - Model Training Started
[ 2026-03-21 17:00:04,297 ] 64 root - INFO - Entred the load_object method of MainUtils class
[ 2026-03-21 17:00:04,350 ] 51 root - INFO - Entred the save_object method of MainUtils class
[ 2026-03-21 17:00:04,355 ] 100 root - INFO - Model trainer artifact : ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_21_2026_16_49_40\\model_trainer\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9907548511632632, precision_score=0.9910569105691057, recall_score=0.9904529758277473), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9762766385203056, precision_score=0.9688747007182761, recall_score=0.9837925445705025))
[ 2026-03-21 17:00:04,358 ] 41 root - INFO - Model Training artifact created
